address,num_of_common,num_of_bronze,num_of_silver,num_of_gold,num_of_platinum,num_of_brilliant
omniflix1dt5pn80yv0vxm9sk52qd3x2rx7963jhdnn47e4,1,6,2,0,0,0
omniflix1mu8enmzwqnxaff0cw5q9aaummneqqxmsfnh64r,1,1,0,0,0,0
omniflix1gd9sm390q497zedf36e5d0dmkzyf5h4nt04kg8,0,0,1,0,0,0
omniflix14uu8lk2zmrm7f8yqq9plfyadtwu8vkm28yp5ey,0,3,0,2,0,0
omniflix1nf74u6jlyp4872079ugj00ht8gjfr26q2hlnkd,0,2,3,1,0,0
omniflix1j4rnpd3j5x967jamw3vkvfdqwdt04qpv2wcvtl,0,1,4,1,0,0
omniflix1r4tds2pe0atxlpu7mjwrjue4w2xfg0ac5s2juv,2,0,0,0,0,0
omniflix1a87cyzs9z2whjz2p9kel6xgdr94fsgfsxfalax,1,0,0,0,0,0
omniflix1evrj4t0x79s3efnr2zvmkhyfvgf8nk2a4jj86u,0,0,2,0,0,0
omniflix1wn07t49wg40hdjxuxzjup09rhr7cvy9e8skj8d,0,2,2,3,0,0
omniflix168td077wrs9rqparc6f8ecdcryzsdqc9kc45pk,3,0,0,0,0,0
omniflix1k57qcc0vdj6ttxts37hrt0088hfd47aqpa7w3a,0,0,2,0,0,0
omniflix19g235uemzl9rrwrtraj6a8l7umafalddm42uxt,1,1,0,0,0,0
omniflix1r0ghv5k4g0xcved3v3f7u8fug5l77rk5x35pw5,0,1,2,3,3,2
omniflix108a54kfnrpv97fffa7m2lx8lhm3qp5v45y5rp7,0,2,0,0,0,0
omniflix1kpasfd9h0xp50y78968dkxkx9anflu2uks7pry,0,2,0,0,0,0
omniflix1tr729vz332v9xvdv5r2tw9yyr9gkf4w3ksg4dw,0,2,1,1,0,0
omniflix1qjlxp55uhyn4ymxdmh3vd3d9s5zjzrzvzr5x99,0,2,2,0,0,0
omniflix18xqggh5vw3qd3s4x36ulnr67s59s8p4cfcgavt,3,0,0,0,0,0
omniflix1h9y83xpjmvejzvfjl9a0e42f25fcjwth6quqc4,0,0,2,0,0,0
omniflix1qhxtgp3cfrfr2k98d24ftr56crm0tpaag8n92w,3,0,0,0,0,0
omniflix10szv755g9pgul8cej9wxzrjgsulkr2fqqhdthc,1,4,1,0,0,0
omniflix1thjmj2gzl7ahqpdc5yw2s3qh8aa6gxxjlgxfkv,1,1,0,0,0,0
omniflix1ctgz008vwaq7wp9z0dqyhpf2hvyf2aa8k6xrxg,0,1,3,2,0,0
omniflix1az6nfzwvguh0dljk2k7tjg8am7kz2eq53mdg8z,0,2,0,0,0,0
omniflix10ewmlea68emxwvlgv6vspzm6sgawhdw0umnr3d,0,0,2,0,0,0
omniflix13ujsv44k7a092vw7033d3lnrm9hhjxdqrd7xvh,2,0,0,0,0,0
